                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.75687,                0.31528,                0.99836,                0.80225,                0.27442,                 1.0084,                0.78507,                0.66431,                0.69485,                0.26957,                 2.2958,                0.84654,                 1.6486,                 2.3652,                 1.0305,                   1.64,               0.004456,               0.004456,               0.004456
                     59,                0.76018,                0.31621,                0.99736,                 0.8073,                0.27646,                  1.007,                0.78699,                0.66358,                0.69643,                0.26891,                 2.2971,                0.84603,                 1.6509,                 2.3658,                 1.0306,                  1.642,               0.004357,               0.004357,               0.004357
                     60,                0.74996,                0.31061,                0.99179,                0.79568,                0.27074,                 1.0017,                0.78807,                0.66593,                 0.6978,                0.26989,                 2.2976,                0.84486,                 1.6525,                  2.365,                 1.0277,                 1.6422,               0.004258,               0.004258,               0.004258
                     61,                0.74489,                0.30939,                0.99261,                0.79061,                0.26924,                 1.0025,                0.78747,                0.66576,                0.69698,                0.26913,                 2.2992,                0.84652,                 1.6553,                 2.3654,                 1.0325,                 1.6434,               0.004159,               0.004159,               0.004159
                     62,                0.74409,                0.30965,                0.99619,                0.78995,                0.27262,                 1.0053,                0.78219,                0.66479,                0.69516,                0.26843,                 2.3015,                0.84763,                 1.6578,                 2.3659,                 1.0334,                 1.6448,                0.00406,                0.00406,                0.00406
                     63,                0.74092,                0.30655,                0.99483,                0.78572,                0.26965,                 1.0038,                0.78295,                0.66328,                0.69334,                0.26758,                 2.3056,                0.84764,                 1.6628,                 2.3706,                 1.0314,                 1.6493,               0.003961,               0.003961,               0.003961
                     64,                0.73266,                0.30417,                 0.9888,                0.77807,                0.26648,                0.99768,                0.79046,                0.65842,                0.69257,                0.26744,                 2.3069,                0.84782,                 1.6657,                 2.3709,                 1.0348,                 1.6515,               0.003862,               0.003862,               0.003862
                     65,                0.73249,                0.30326,                0.98461,                0.77623,                0.26555,                0.99277,                0.79331,                0.65803,                0.69304,                0.26742,                 2.3081,                0.84836,                 1.6693,                 2.3724,                 1.0336,                 1.6547,               0.003763,               0.003763,               0.003763
                     66,                 0.7282,                0.30096,                 0.9861,                0.77229,                0.26436,                0.99433,                0.79259,                0.65852,                0.69331,                0.26748,                 2.3087,                0.84922,                 1.6711,                 2.3721,                 1.0345,                 1.6554,               0.003664,               0.003664,               0.003664
                     67,                0.72936,                0.30039,                0.98569,                0.77333,                0.26155,                0.99417,                0.79421,                 0.6577,                0.69262,                0.26715,                 2.3089,                0.84941,                 1.6723,                 2.3727,                 1.0357,                 1.6567,               0.003565,               0.003565,               0.003565
                     68,                0.72303,                0.29914,                0.98328,                0.76563,                0.26128,                 0.9918,                0.79358,                0.65931,                0.69217,                 0.2667,                 2.3094,                0.84906,                 1.6737,                 2.3727,                  1.037,                  1.658,               0.003466,               0.003466,               0.003466
                     69,                0.71906,                0.29808,                0.98418,                0.76198,                 0.2606,                0.99244,                0.79068,                 0.6604,                0.69192,                0.26712,                 2.3106,                0.84925,                 1.6757,                 2.3724,                 1.0408,                 1.6593,               0.003367,               0.003367,               0.003367
                     70,                0.72049,                 0.2966,                0.98803,                0.76193,                0.25848,                  0.996,                0.78947,                0.66181,                0.69312,                0.26731,                 2.3086,                0.84848,                 1.6758,                 2.3714,                 1.0409,                   1.66,               0.003268,               0.003268,               0.003268
                     71,                0.71423,                0.29462,                0.98387,                0.75678,                0.25591,                0.99181,                0.78662,                0.66181,                0.69298,                0.26714,                 2.3083,                0.84801,                 1.6772,                 2.3716,                 1.0387,                 1.6613,               0.003169,               0.003169,               0.003169
                     72,                0.70874,                0.29199,                0.98234,                   0.75,                0.25488,                0.99008,                0.78865,                0.66034,                0.69273,                0.26706,                 2.3088,                0.84872,                  1.679,                 2.3726,                 1.0378,                 1.6633,                0.00307,                0.00307,                0.00307
                     73,                0.70224,                0.28902,                0.97587,                0.74419,                0.25156,                0.98382,                0.79347,                0.65799,                0.69287,                0.26709,                 2.3084,                0.85007,                 1.6796,                  2.373,                  1.038,                 1.6632,               0.002971,               0.002971,               0.002971
                     74,                0.70485,                0.29187,                 0.9709,                0.74858,                0.25517,                0.97899,                0.78989,                0.65976,                 0.6934,                0.26725,                 2.3068,                 0.8496,                 1.6791,                 2.3729,                 1.0386,                 1.6634,               0.002872,               0.002872,               0.002872
                     75,                0.69966,                0.28785,                0.97243,                0.74108,                0.25115,                0.98018,                0.79062,                0.65843,                0.69337,                0.26718,                 2.3067,                0.84933,                 1.6814,                 2.3706,                 1.0431,                 1.6632,               0.002773,               0.002773,               0.002773
                     76,                0.69638,                 0.2861,                0.96989,                0.73899,                0.24986,                0.97793,                  0.786,                0.66212,                0.69348,                0.26732,                 2.3079,                0.84997,                 1.6835,                 2.3732,                 1.0437,                 1.6657,               0.002674,               0.002674,               0.002674
                     77,                0.69319,                 0.2863,                0.97184,                0.73522,                0.25058,                   0.98,                0.78839,                0.66137,                0.69307,                0.26703,                 2.3084,                0.85128,                 1.6849,                 2.3725,                 1.0485,                 1.6671,               0.002575,               0.002575,               0.002575
                     78,                0.68696,                0.28336,                0.96921,                0.72847,                0.24854,                0.97683,                 0.7942,                0.65564,                0.69277,                0.26718,                 2.3096,                0.85172,                 1.6871,                 2.3718,                 1.0527,                  1.668,               0.002476,               0.002476,               0.002476
                     79,                0.68659,                  0.282,                0.96771,                0.72769,                0.24592,                0.97548,                  0.793,                0.65593,                0.69296,                0.26629,                 2.3115,                0.85159,                 1.6902,                 2.3763,                 1.0506,                 1.6721,               0.002377,               0.002377,               0.002377
                     80,                 0.6851,                0.28192,                0.97009,                0.72602,                0.24797,                0.97779,                0.78858,                 0.6577,                0.69222,                0.26601,                 2.3127,                0.85171,                 1.6931,                 2.3783,                 1.0519,                 1.6739,               0.002278,               0.002278,               0.002278
                     81,                0.68133,                0.27934,                0.96454,                 0.7223,                 0.2446,                0.97158,                0.79057,                 0.6574,                0.69273,                0.26644,                  2.314,                0.85266,                 1.6955,                 2.3772,                 1.0555,                 1.6738,               0.002179,               0.002179,               0.002179
                     82,                0.67695,                0.27763,                0.96725,                0.71648,                0.24245,                0.97416,                0.79002,                 0.6572,                0.69184,                0.26595,                 2.3154,                 0.8536,                 1.6977,                 2.3777,                 1.0575,                 1.6752,                0.00208,                0.00208,                0.00208
                     83,                0.66892,                0.27438,                0.96269,                0.70877,                0.23902,                0.96948,                0.78917,                0.65784,                0.69106,                0.26627,                  2.315,                0.85403,                 1.6991,                 2.3783,                 1.0593,                 1.6771,               0.001981,               0.001981,               0.001981
                     84,                0.67095,                0.27495,                0.96254,                0.71072,                0.24014,                0.96954,                0.79098,                0.65579,                0.69117,                0.26613,                 2.3154,                0.85458,                 1.7009,                 2.3782,                 1.0611,                 1.6788,               0.001882,               0.001882,               0.001882
                     85,                0.66541,                0.27235,                0.95762,                0.70524,                0.23852,                0.96454,                 0.7877,                0.65623,                0.69078,                 0.2656,                 2.3163,                0.85484,                 1.7023,                 2.3784,                 1.0649,                  1.679,               0.001783,               0.001783,               0.001783
                     86,                0.65989,                0.27081,                0.95135,                0.69892,                0.23752,                0.95844,                0.78859,                0.65379,                0.69023,                0.26558,                 2.3169,                0.85544,                  1.704,                 2.3792,                 1.0684,                 1.6797,               0.001684,               0.001684,               0.001684
                     87,                0.65796,                0.27035,                0.95157,                0.69686,                0.23691,                0.95785,                0.78885,                0.65446,                0.68977,                0.26523,                 2.3186,                0.85605,                 1.7069,                 2.3817,                 1.0698,                 1.6837,               0.001585,               0.001585,               0.001585
                     88,                0.65209,                0.26714,                 0.9541,                   0.69,                0.23306,                0.96105,                0.78868,                0.65358,                0.69018,                 0.2653,                 2.3199,                0.85621,                  1.709,                 2.3826,                 1.0725,                 1.6854,               0.001486,               0.001486,               0.001486
                     89,                0.64779,                0.26477,                0.95023,                0.68602,                0.23119,                0.95696,                0.78744,                0.65637,                0.68962,                0.26491,                 2.3218,                0.85695,                 1.7122,                 2.3833,                  1.071,                 1.6877,               0.001387,               0.001387,               0.001387
                     90,                0.64268,                0.26306,                 0.9461,                0.68085,                0.23014,                0.95303,                 0.7872,                0.65544,                0.68999,                0.26497,                 2.3243,                0.85771,                 1.7162,                 2.3841,                 1.0733,                 1.6906,               0.001288,               0.001288,               0.001288
                     91,                0.61648,                0.23876,                0.95559,                0.63742,                0.19746,                0.95972,                0.78367,                0.65622,                0.68892,                0.26472,                 2.3266,                0.85902,                 1.7202,                 2.3847,                 1.0769,                 1.6932,               0.001189,               0.001189,               0.001189
                     92,                0.60812,                 0.2357,                0.95209,                0.62899,                0.19346,                0.95596,                0.78236,                0.65637,                0.68826,                0.26403,                 2.3289,                0.86012,                 1.7236,                  2.388,                 1.0772,                 1.6964,                0.00109,                0.00109,                0.00109
                     93,                0.60182,                0.23362,                0.94698,                0.62259,                0.19192,                0.95092,                0.78197,                0.65784,                0.68831,                0.26361,                 2.3304,                0.85994,                  1.727,                 2.3898,                 1.0785,                 1.6987,               0.000991,               0.000991,               0.000991
                     94,                0.59609,                0.23088,                0.94148,                 0.6162,                0.18997,                0.94544,                0.78211,                0.65762,                0.68784,                0.26411,                 2.3319,                0.86137,                 1.7303,                 2.3919,                 1.0799,                 1.7019,               0.000892,               0.000892,               0.000892
                     95,                0.59177,                0.22883,                0.94263,                0.61217,                0.18804,                0.94637,                 0.7821,                0.65814,                  0.688,                0.26394,                 2.3333,                0.86194,                 1.7337,                 2.3943,                 1.0794,                 1.7055,               0.000793,               0.000793,               0.000793
                     96,                0.58647,                0.22715,                0.93857,                 0.6065,                0.18615,                0.94226,                0.78024,                0.65858,                 0.6877,                 0.2637,                  2.334,                0.86345,                 1.7362,                 2.3954,                 1.0813,                 1.7082,               0.000694,               0.000694,               0.000694
                     97,                0.57903,                0.22416,                0.93606,                0.59913,                0.18326,                0.93967,                0.77902,                0.65858,                0.68758,                0.26369,                  2.335,                0.86478,                 1.7392,                 2.3974,                 1.0806,                 1.7118,               0.000595,               0.000595,               0.000595
                     98,                0.57589,                0.22278,                0.93178,                0.59579,                0.18232,                0.93526,                0.78115,                0.65813,                0.68807,                0.26379,                 2.3361,                0.86604,                 1.7426,                 2.3996,                  1.082,                 1.7154,               0.000496,               0.000496,               0.000496
                     99,                0.57092,                0.22083,                0.93006,                0.59051,                0.18124,                0.93337,                0.78188,                0.65755,                 0.6873,                0.26331,                 2.3371,                0.86724,                 1.7457,                 2.4005,                 1.0838,                 1.7178,               0.000397,               0.000397,               0.000397
                    100,                0.56788,                0.21948,                0.93014,                0.58712,                0.18029,                0.93362,                0.78674,                0.65534,                 0.6872,                0.26334,                 2.3383,                0.86818,                 1.7484,                  2.401,                 1.0851,                 1.7201,               0.000298,               0.000298,               0.000298
